created_at,entry_id,field1,field2,field3,field4,field5
2017-06-30 11:09:32 UTC,217,3.9,8.25,337.12,24.1875,1005.085
2017-06-30 11:09:52 UTC,218,2.68,5.299999,338.08,24.1875,1005.093
2017-06-30 11:10:12 UTC,219,2.68,6.299999,338.4,24.1875,1005.087
2017-06-30 11:10:32 UTC,220,2.68,6.299999,334.24,24.125,1005.055
2017-06-30 11:10:52 UTC,221,3.9,8.25,336.16,24.125,1005.047
2017-06-30 11:11:12 UTC,222,2.68,5.299999,335.84,24.125,1005.018
2017-06-30 11:11:32 UTC,223,3.68,6.299999,340.8,24.125,1005.072
2017-06-30 11:11:52 UTC,224,2.68,6.299999,342.4,24.1875,1005.065
2017-06-30 11:12:12 UTC,225,2.68,6.299999,340.64,24.1875,1005.032
2017-06-30 11:12:32 UTC,226,4.9,8.25,342.24,24.1875,1005.045
2017-06-30 11:12:52 UTC,227,3.9,8.25,338.72,24.1875,1005.0
2017-06-30 11:13:12 UTC,228,2.68,6.299999,340.32,24.1875,1004.963
2017-06-30 11:13:32 UTC,229,4.9,9.25,339.36,24.1875,1004.977
2017-06-30 11:13:52 UTC,230,2.68,5.299999,335.84,24.1875,1004.982
2017-06-30 11:14:12 UTC,231,3.9,8.25,333.28,24.1875,1005.025
2017-06-30 11:14:32 UTC,232,3.9,8.25,338.08,24.1875,1005.025
2017-06-30 11:14:52 UTC,233,4.9,8.25,339.36,24.25,1005.02
2017-06-30 11:15:12 UTC,234,3.9,8.25,335.84,24.25,1005.035
2017-06-30 11:15:32 UTC,235,4.9,8.25,337.44,24.25,1005.023
2017-06-30 11:15:52 UTC,236,2.68,5.299999,335.52,24.3125,1005.095
2017-06-30 11:16:13 UTC,237,3.9,8.25,334.56,24.3125,1005.135
2017-06-30 11:16:33 UTC,238,4.9,8.25,335.52,24.3125,1005.077
2017-06-30 11:16:53 UTC,239,2.68,6.299999,335.52,24.375,1005.157
2017-06-30 11:17:13 UTC,240,2.68,6.299999,332.96,24.375,1005.18
2017-06-30 11:17:33 UTC,241,3.9,8.25,335.84,24.375,1005.183
2017-06-30 11:17:53 UTC,242,1.68,5.299999,332.96,24.375,1005.133
2017-06-30 11:18:13 UTC,243,3.9,7.25,332.0,24.375,1005.145
2017-06-30 11:18:33 UTC,244,3.9,7.25,338.4,24.375,1005.225
2017-06-30 11:18:53 UTC,245,3.9,8.25,335.52,24.3125,1005.198
2017-06-30 11:19:13 UTC,246,3.9,7.25,335.2,24.3125,1005.17
2017-06-30 11:19:33 UTC,247,3.9,8.25,332.96,24.3125,1005.17
2017-06-30 11:19:53 UTC,248,1.68,5.299999,334.88,24.3125,1005.18
2017-06-30 11:20:13 UTC,249,3.9,8.25,332.64,24.3125,1005.16
2017-06-30 11:20:33 UTC,250,2.9,7.25,331.36,24.25,1005.147
2017-06-30 11:20:53 UTC,251,3.9,8.25,329.12,24.1875,1005.21
2017-06-30 11:21:13 UTC,252,3.9,8.25,335.52,24.1875,1005.19
2017-06-30 11:21:33 UTC,253,3.9,8.25,330.4,24.1875,1005.222
2017-06-30 11:21:53 UTC,254,3.9,7.25,331.68,24.1875,1005.227
2017-06-30 11:22:13 UTC,255,3.9,7.25,329.44,24.1875,1005.183
2017-06-30 11:22:33 UTC,256,3.9,7.25,331.04,24.125,1005.183
2017-06-30 11:22:53 UTC,257,3.9,8.25,338.08,24.1875,1005.203
2017-06-30 11:23:13 UTC,258,1.68,5.299999,336.16,24.1875,1005.208
2017-06-30 11:23:33 UTC,259,3.9,7.25,331.04,24.25,1005.208
2017-06-30 11:23:54 UTC,260,3.9,7.25,335.84,24.25,1005.188
2017-06-30 11:24:14 UTC,261,1.68,5.299999,335.2,24.25,1005.185
2017-06-30 11:24:34 UTC,262,3.9,7.25,336.16,24.25,1005.167
2017-06-30 11:24:54 UTC,263,3.9,7.25,332.64,24.3125,1005.175
2017-06-30 11:25:14 UTC,264,2.9,7.25,328.8,24.3125,1005.195
2017-06-30 11:25:34 UTC,265,3.9,7.25,330.72,24.375,1005.247
2017-06-30 11:25:54 UTC,266,2.9,6.25,316.88,24.3125,1005.205
2017-06-30 11:26:14 UTC,267,2.9,7.25,332.96,24.3125,1005.2
2017-06-30 11:26:34 UTC,268,2.9,5.25,302.8,24.3125,1005.218
2017-06-30 11:26:54 UTC,269,2.9,7.25,330.08,24.3125,1005.208
2017-06-30 11:27:14 UTC,270,2.9,7.25,330.4,24.3125,1005.172
2017-06-30 11:27:34 UTC,271,2.9,6.25,329.44,24.3125,1005.143
2017-06-30 11:27:54 UTC,272,3.9,7.25,327.52,24.375,1005.157
2017-06-30 11:28:14 UTC,273,2.9,6.25,327.52,24.3125,1005.172
2017-06-30 11:28:34 UTC,274,3.9,7.25,329.76,24.375,1005.14
2017-06-30 11:28:54 UTC,275,2.9,6.25,328.48,24.3125,1005.11
2017-06-30 11:29:14 UTC,276,3.9,7.25,327.52,24.3125,1005.13
2017-06-30 11:29:34 UTC,277,1.68,5.299999,327.52,24.375,1005.115
2017-06-30 11:29:54 UTC,278,3.9,7.25,326.24,24.4375,1005.067
2017-06-30 11:30:14 UTC,279,3.9,7.25,329.76,24.5,1005.115
2017-06-30 11:30:34 UTC,280,3.9,7.25,333.92,24.5,1005.098
